,0
0,0.7213462591171265
1,0.6967583298683167
2,0.6876183152198792
3,0.6824762225151062
4,0.6785412430763245
5,0.6751615405082703
6,0.6720175743103027
7,0.6690826416015625
8,0.6662697196006775
9,0.6635352373123169
10,0.6610754728317261
11,0.6586936116218567
12,0.6565823554992676
13,0.6546681523323059
14,0.6527787446975708
15,0.6511312127113342
16,0.6496360301971436
17,0.648317813873291
18,0.6471274495124817
19,0.6460309028625488
20,0.6454222798347473
21,0.6442419290542603
22,0.6438013911247253
23,0.6430996656417847
24,0.6429405212402344
25,0.6426379084587097
26,0.6424814462661743
27,0.6423549056053162
28,0.6426058411598206
29,0.6426279544830322
30,0.642795741558075
31,0.6430231332778931
32,0.6435179114341736
33,0.6438876390457153
34,0.6445022821426392
35,0.6455754637718201
36,0.6452860236167908
37,0.6476076245307922
38,0.6457507014274597
39,0.6530172824859619
40,0.645150899887085
41,0.6709414720535278
42,0.653120756149292
43,0.7297832369804382
44,0.7258749008178711
45,0.8784886598587036
46,0.8630155324935913
47,0.8114221096038818
48,0.6989743113517761
49,0.7259359955787659
50,0.6600030064582825
51,0.6976176500320435
52,0.6544760465621948
53,0.6952153444290161
54,0.6588229537010193
55,0.7087779641151428
56,0.6714958548545837
57,0.7492594122886658
58,0.7141801118850708
59,0.8438260555267334
60,0.8225393295288086
61,0.9707005023956299
62,0.8752026557922363
63,0.8068189024925232
64,0.6773035526275635
65,0.7004692554473877
66,0.6595235466957092
67,0.6815748810768127
68,0.6698458194732666
69,0.6831477880477905
70,0.6782037615776062
71,0.6891119480133057
72,0.6855365037918091
73,0.6966818571090698
74,0.6930162906646729
75,0.7055732011795044
76,0.700186014175415
77,0.7163324952125549
78,0.7068317532539368
79,0.7321462631225586
80,0.7154868841171265
81,0.7583194971084595
82,0.7334292531013489
83,0.8247097730636597
84,0.8184865117073059
85,1.193416714668274
86,1.6212198734283447
87,1.1022400856018066
88,0.7106277942657471
89,0.7247012257575989
90,0.7014148831367493
91,0.716769278049469
92,0.718294084072113
93,0.7238288521766663
94,0.7280591726303101
95,0.7328828573226929
96,0.7373721599578857
97,0.7418941855430603
98,0.746268093585968
99,0.7505550384521484
