,0
0,0.47242921590805054
1,0.5335320234298706
2,0.5529060959815979
3,0.564828634262085
4,0.5678092241287231
5,0.5752608180046082
6,0.5782414078712463
7,0.5812220573425293
8,0.5931445360183716
9,0.5901639461517334
10,0.5976154804229736
11,0.6095380187034607
12,0.6095380187034607
13,0.6274217367172241
14,0.6274217367172241
15,0.6304023861885071
16,0.6304023861885071
17,0.6318926811218262
18,0.6423248648643494
19,0.6482861638069153
20,0.6482861638069153
21,0.6497764587402344
22,0.6497764587402344
23,0.6497764587402344
24,0.6467958092689514
25,0.6408345699310303
26,0.6453055143356323
27,0.6467958092689514
28,0.6482861638069153
29,0.6467958092689514
30,0.6482861638069153
31,0.6482861638069153
32,0.6527571082115173
33,0.6512667536735535
34,0.6527571082115173
35,0.6512667536735535
36,0.6557376980781555
37,0.6497764587402344
38,0.6572279930114746
39,0.6557376980781555
40,0.6557376980781555
41,0.6587183475494385
42,0.6453055143356323
43,0.6304023861885071
44,0.6154992580413818
45,0.5394933223724365
46,0.5931445360183716
47,0.5484351515769958
48,0.621460497379303
49,0.6244411468505859
50,0.6438152194023132
51,0.6512667536735535
52,0.6542474031448364
53,0.6587183475494385
54,0.6542474031448364
55,0.6557376980781555
56,0.6467958092689514
57,0.6423248648643494
58,0.6348733305931091
59,0.5931445360183716
60,0.6065573692321777
61,0.5305514335632324
62,0.5976154804229736
63,0.5856930017471313
64,0.6348733305931091
65,0.6616989374160767
66,0.6646795868873596
67,0.6631892919540405
68,0.6661698818206787
69,0.6616989374160767
70,0.6631892919540405
71,0.6646795868873596
72,0.6646795868873596
73,0.6602086424827576
74,0.6661698818206787
75,0.6572279930114746
76,0.6706408262252808
77,0.6602086424827576
78,0.6691505312919617
79,0.6616989374160767
80,0.6721311211585999
81,0.6587183475494385
82,0.6602086424827576
83,0.6497764587402344
84,0.6378539204597473
85,0.5409836173057556
86,0.5529060959815979
87,0.497764527797699
88,0.6229507923126221
89,0.6572279930114746
90,0.6542474031448364
91,0.6572279930114746
92,0.6572279930114746
93,0.6572279930114746
94,0.6587183475494385
95,0.6602086424827576
96,0.6616989374160767
97,0.6602086424827576
98,0.6602086424827576
99,0.6587183475494385
